file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,34,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,20
style.css,35,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,18
style.css,36,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,21
style.css,37,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,16
style.css,38,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,39,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,40,css,ded6035a,karizabal,2025-04-03,22:33:04,-07:00,2025-04-03T22:33:04-07:00,0,4
style.css,41,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,13
style.css,42,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,23
style.css,43,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,44,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,45,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,0,18
style.css,46,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,1,17
style.css,47,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,1,8
style.css,48,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,1,10
style.css,49,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,1,13
style.css,50,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,0,0
style.css,51,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,0,0
style.css,52,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,3
style.css,53,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,1,39
style.css,54,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,12
style.css,55,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,23
style.css,56,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,25
style.css,57,css,fd59032f,karizabal,2025-04-18,18:19:51,-07:00,2025-04-18T18:19:51-07:00,1,39
style.css,58,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,16
style.css,59,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,60,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,61,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,14
style.css,62,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,16
style.css,63,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,64,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
